lokasi,kota,harga,K_tidur,K_mandi,luas_tanah_m2,luas_bangunan_m2,taman,AC,jalur_telepon,kolam_renang,CCTV
Jatibening,Bekasi,1930000000,3.0,2.0,170,170,no,no,no,no,no
Jatibening,Bekasi,1610000000,4.0,3.0,84,120,no,no,no,no,no
Jati Asih,Bekasi,550000000,2.0,1.0,70,45,yes,no,no,no,no
Galaxy,Bekasi,1180000000,2.0,1.0,108,121,yes,no,no,no,no
Galaxy,Bekasi,2680000000,4.0,2.0,150,250,yes,no,no,no,no
Cikarang,Bekasi,2360000000,4.0,3.0,240,108,yes,no,no,no,no
Bekasi Timur,Bekasi,1610000000,4.0,3.0,216,200,no,no,no,no,no
Bekasi Timur,Bekasi,1070000000,2.0,1.0,124,60,yes,no,no,no,no
Bekasi Timur,Bekasi,910000000,3.0,1.0,74,70,yes,no,no,no,no
Tarumajaya,Bekasi,1400000000,3.0,2.0,71,54,no,no,yes,no,no
Jati Asih,Bekasi,775000000,2.0,1.0,89,60,yes,no,no,no,no
Jati Asih,Bekasi,540000000,2.0,1.0,63,68,yes,no,no,no,no
Jati Asih,Bekasi,940000000,4.0,2.0,120,84,yes,no,no,no,no
Tambun Utara,Bekasi,395000000,2.0,1.0,60,36,no,no,yes,no,no
Jatimakmur,Bekasi,1700000000,4.0,5.0,135,124,yes,no,yes,no,no
Harapan Indah,Bekasi,1040000000,3.0,2.0,55,93,no,no,no,no,no
Bekasi Utara,Bekasi,540000000,2.0,1.0,72,40,yes,no,no,no,no
Bekasi Utara,Bekasi,2890000000,4.0,3.0,238,180,yes,no,no,no,no
Summarecon Bekasi,Bekasi,3500000000,2.0,3.0,136,260,no,no,yes,no,no
Jati Asih,Bekasi,646000000,3.0,2.0,61,66,no,yes,no,no,no
Jati Asih,Bekasi,25000000000,6.0,4.0,2500,1000,no,no,yes,no,no
Bekasi Kota,Bekasi,860000000,3.0,2.0,128,95,no,no,no,no,no
Bekasi Kota,Bekasi,720000000,2.0,1.0,60,65,no,no,no,no,no
Bekasi Kota,Bekasi,940000000,3.0,2.0,72,90,no,no,no,no,no
Bekasi Kota,Bekasi,860000000,2.0,1.0,101,70,no,no,no,no,no
Bekasi Kota,Bekasi,590000000,2.0,1.0,60,51,no,no,no,no,no
Harapan Indah,Bekasi,540000000,2.0,1.0,72,54,no,no,no,no,no
Harapan Indah,Bekasi,700000000,2.0,1.0,107,55,no,no,no,no,no
Bekasi Timur,Bekasi,716000000,3.0,2.0,80,110,no,no,yes,no,no
Tarumajaya,Bekasi,1330000000,3.0,3.0,55,93,yes,no,no,no,no
Medan Satria,Bekasi,920000000,4.0,2.0,93,140,yes,no,no,no,no
Telukpucung,Bekasi,1300000000,3.0,2.0,66,88,no,no,no,no,no
Cikarang,Bekasi,1500000000,15.0,15.0,135,250,no,no,no,no,no
Bekasi Kota,Bekasi,1710000000,2.0,2.0,116,90,yes,no,no,no,no
Bekasi Kota,Bekasi,680000000,2.0,2.0,90,42,yes,no,no,no,no
Bekasi Barat,Bekasi,1660000000,4.0,4.0,108,156,no,no,no,no,no
Setu,Bekasi,535000000,2.0,2.0,78,50,yes,no,no,no,no
Cibubur,Bekasi,8000000000,6.0,5.0,400,700,no,no,no,yes,no
Harapan Jaya,Bekasi,1390000000,2.0,2.0,224,75,no,no,no,no,no
Jati Asih,Bekasi,1180000000,2.0,1.0,90,60,yes,no,no,no,no
Harapan Indah,Bekasi,1560000000,3.0,3.0,90,150,yes,no,no,no,no
Grand Wisata,Bekasi,700000000,2.0,1.0,90,38,yes,no,no,no,no
Galaxy,Bekasi,1200000000,3.0,2.0,95,88,yes,no,no,no,no
Galaxy,Bekasi,650000000,2.0,1.0,112,65,yes,no,no,no,no
Summarecon Bekasi,Bekasi,1050000000,3.0,1.0,78,78,no,no,no,no,no
Jatibening,Bekasi,1070000000,4.0,3.0,100,200,no,no,no,no,no
Jatibening,Bekasi,1180000000,2.0,1.0,90,60,no,no,no,no,no
Jati Asih,Bekasi,1720000000,3.0,2.0,150,100,yes,no,no,no,no
Summarecon Bekasi,Bekasi,2100000000,4.0,2.0,119,115,no,no,no,no,no
Cikarang,Bekasi,1020000000,4.0,3.0,72,150,no,no,no,no,no
Jati Asih,Bekasi,900000000,3.0,2.0,77,83,yes,no,no,no,no
Bekasi Timur,Bekasi,540000000,2.0,1.0,72,40,yes,no,no,no,no
Bekasi Timur,Bekasi,650000000,3.0,2.0,60,120,yes,no,no,no,no
Bekasi Utara,Bekasi,1600000000,3.0,3.0,105,130,yes,no,no,no,no
Bekasi Utara,Bekasi,1490000000,3.0,3.0,90,122,yes,no,no,no,no
Cikarang Utara,Bekasi,1000000000,4.0,3.0,77,84,no,no,yes,no,no
Cikarang Utara,Bekasi,900000000,3.0,2.0,60,60,no,no,yes,no,no
Cikarang Utara,Bekasi,1000000000,4.0,3.0,77,84,yes,no,no,no,no
Cikarang Utara,Bekasi,900000000,3.0,2.0,60,60,no,no,yes,no,no
Cikarang Utara,Bekasi,1000000000,4.0,3.0,77,84,no,no,yes,no,no
Cikarang Utara,Bekasi,900000000,3.0,2.0,60,60,no,no,yes,no,no
Cikarang Utara,Bekasi,1000000000,4.0,3.0,77,84,no,no,yes,no,no
Cikarang Utara,Bekasi,900000000,3.0,2.0,60,60,no,no,yes,no,no
Cikarang Utara,Bekasi,1000000000,4.0,3.0,77,84,no,no,yes,no,no
Cikarang Utara,Bekasi,900000000,3.0,2.0,60,60,no,no,yes,no,no
Cikarang,Bekasi,970000000,4.0,2.0,144,76,no,no,no,no,no
Cikarang,Bekasi,540000000,2.0,1.0,72,60,no,no,no,no,no
Bekasi Utara,Bekasi,910000000,2.0,1.0,124,60,no,no,no,no,no
Bekasi Utara,Bekasi,540000000,2.0,1.0,60,40,no,no,no,no,no
Bekasi Timur,Bekasi,1610000000,4.0,3.0,138,59,no,no,no,no,no
Bekasi Timur,Bekasi,540000000,2.0,2.0,77,77,yes,no,no,no,no
Pondokmelati,Bekasi,1580000000,3.0,4.0,90,155,yes,no,no,no,no
Tambun Selatan,Bekasi,350000000,1.0,1.0,50,40,no,no,yes,no,no
Jatibening,Bekasi,899000000,3.0,2.0,66,78,yes,no,no,no,no
Mustikajaya,Bekasi,870000000,2.0,1.0,60,47,yes,no,no,no,no
Bekasi Kota,Bekasi,1290000000,4.0,3.0,201,175,yes,no,no,no,no
Bekasi Kota,Bekasi,810000000,2.0,1.0,120,90,yes,no,no,no,no
Bekasi Kota,Bekasi,2360000000,3.0,3.0,213,200,yes,no,no,no,no
Mustikajaya,Bekasi,940000000,3.0,2.0,72,90,yes,no,no,no,no
Jatisampurna,Bekasi,1600000000,4.0,3.0,98,100,yes,no,no,no,no
Harapan Indah,Bekasi,2120000000,3.0,3.0,108,69,no,no,yes,no,no
Harapan Indah,Bekasi,957000000,3.0,2.0,72,108,no,no,no,no,no
Bekasi,Bekasi,746000000,3.0,3.0,151,138,no,no,no,no,no
Jatisampurna,Bekasi,2700000000,3.0,2.0,504,398,yes,no,no,no,no
Tambun Utara,Bekasi,172000000,2.0,1.0,84,36,no,no,no,no,no
Tambun Utara,Bekasi,172000000,2.0,1.0,84,36,no,no,no,no,no
Cibubur,Bekasi,1100000000,1.0,1.0,161,41,no,no,no,no,no
Bekasi Utara,Bekasi,800000000,2.0,2.0,130,70,no,no,no,no,no
Pondokmelati,Bekasi,4340000000,4.0,2.0,475,626,no,no,no,no,no
Bekasi,Bekasi,1550000000,6.0,3.0,152,315,no,no,no,no,no
Bekasi,Bekasi,2000000000,1.0,1.0,229,220,yes,no,no,no,no
Tarumajaya,Bekasi,1100000000,2.0,2.0,90,42,yes,no,no,no,no
Bekasi Barat,Bekasi,900000000,3.0,2.0,198,100,no,no,no,no,no
Harapan Indah,Bekasi,1020000000,3.0,2.0,90,69,yes,no,no,no,no
Bekasi Barat,Bekasi,4750000000,5.0,3.0,188,300,no,no,yes,no,no
Pondok Gede,Bekasi,757000000,2.0,1.0,103,80,no,no,no,no,no
Cikarang,Bekasi,950000000,2.0,2.0,54,43,no,no,yes,no,no
Cikarang,Bekasi,800000000,2.0,2.0,50,43,no,no,yes,no,no
Harapan Indah,Bekasi,1290000000,5.0,4.0,100,230,no,no,no,no,no
Summarecon Bekasi,Bekasi,540000000,2.0,1.0,72,40,yes,no,no,no,no
Jatibening,Bekasi,2680000000,4.0,2.0,150,250,yes,no,no,no,no
Jatibening,Bekasi,860000000,3.0,2.0,82,156,yes,no,no,no,no
Cikarang,Bekasi,1400000000,3.0,3.0,105,87,yes,no,no,no,no
Cikarang,Bekasi,750000000,2.0,1.0,84,84,yes,no,no,no,no
Cikarang,Bekasi,1180000000,2.0,2.0,72,36,yes,no,no,no,no
Cikarang,Bekasi,540000000,2.0,1.0,60,60,yes,no,no,no,no
Bekasi Kota,Bekasi,1930000000,4.0,3.0,144,135,yes,no,no,no,no
Bekasi Kota,Bekasi,1070000000,5.0,1.0,89,89,no,no,no,no,no
Harapan Indah,Bekasi,1160000000,2.0,2.0,97,75,yes,no,no,no,no
Harapan Indah,Bekasi,680000000,2.0,1.0,60,50,yes,no,no,no,no
Summarecon Bekasi,Bekasi,560000000,2.0,1.0,90,45,yes,no,no,no,no
Summarecon Bekasi,Bekasi,860000000,3.0,1.0,108,144,yes,no,no,no,no
Kemang Pratama,Bekasi,1500000000,4.0,2.0,162,170,yes,no,no,no,no
Rawalumbu,Bekasi,2900000000,4.0,4.0,526,110,yes,no,yes,no,no
Jatibening,Bekasi,850000000,3.0,2.0,88,150,yes,no,no,no,no
Bekasi,Bekasi,2300000000,4.0,3.0,270,330,no,no,no,no,no
Jati Asih,Bekasi,1170000000,3.0,2.0,90,130,no,no,no,no,no
Harapan Indah,Bekasi,1350000000,5.0,2.0,234,120,no,no,no,no,no
Jati Asih,Bekasi,980000000,2.0,1.0,90,48,no,no,no,no,no
Jatibening,Bekasi,2460000000,5.0,2.0,305,200,no,no,no,no,no
Jatibening,Bekasi,1720000000,5.0,3.0,154,180,no,no,no,no,no
Jatibening,Bekasi,1180000000,3.0,2.0,120,90,no,no,no,no,no
Grand Wisata,Bekasi,540000000,2.0,2.0,77,77,yes,no,no,no,no
Grand Wisata,Bekasi,910000000,3.0,1.0,120,120,yes,no,no,no,no
Cikarang,Bekasi,420000000,3.0,1.0,90,90,no,no,no,no,no
Cikarang,Bekasi,540000000,2.0,2.0,77,77,no,no,no,no,no
Bekasi Utara,Bekasi,1930000000,4.0,2.0,120,200,yes,no,no,no,no
Bekasi Utara,Bekasi,1560000000,3.0,3.0,90,150,yes,no,no,no,no
Tarumajaya,Bekasi,3400000000,4.0,4.0,276,183,no,no,yes,no,no
Bekasi Timur,Bekasi,810000000,2.0,1.0,38,86,no,no,no,no,no
Bekasi Timur,Bekasi,590000000,2.0,1.0,90,55,no,no,no,no,no
Summarecon Bekasi,Bekasi,1060000000,4.0,2.0,72,90,no,no,no,no,no
Summarecon Bekasi,Bekasi,1820000000,4.0,1.0,270,100,no,no,no,no,no
Cibitung,Bekasi,250000000,1.0,1.0,84,21,no,no,yes,no,no
Pluit,Jakarta Utara,7500000000,5.0,5.0,330,635,yes,no,yes,no,no
Jagakarsa,Jakarta Selatan,2500000000,3.0,3.0,80,150,yes,no,no,no,yes
Sawah Besar,Jakarta Pusat,640000000,2.0,1.0,29,37,no,no,no,no,no
Permata Buana,Jakarta Barat,8500000000,4.0,4.0,250,400,no,no,no,no,no
Cideng,Jakarta Pusat,6500000000,3.0,2.0,250,260,no,no,no,no,no
Sunter,Jakarta Utara,7500000000,6.0,5.0,292,360,no,no,no,no,no
Jelambar,Jakarta Barat,3600000000,3.0,3.0,140,208,no,no,no,no,no
Cipete,Jakarta Selatan,16000000000,5.0,3.0,526,400,no,no,yes,no,no
Utan Kayu,Jakarta Timur,585000000,3.0,2.0,30,58,no,no,yes,no,no
Cawang,Jakarta Timur,1500000000,3.0,2.0,55,98,no,no,yes,no,no
Jelambar,Jakarta Barat,5900000000,6.0,6.0,114,338,no,no,no,no,no
Pondok Indah,Jakarta Selatan,19000000000,4.0,4.0,400,500,no,no,yes,no,no
Kebayoran Baru,Jakarta Selatan,14900000000,4.0,3.0,242,312,yes,no,no,no,no
Kelapa Gading,Jakarta Utara,3900000000,3.0,3.0,160,160,no,no,yes,no,no
Kalideres,Jakarta Barat,5850000000,5.0,4.0,232,310,no,no,yes,no,no
Pondok Bambu,Jakarta Timur,7000000000,7.0,4.0,300,692,no,no,yes,no,no
Kebon Jeruk,Jakarta Barat,4500000000,2.0,4.0,176,450,no,no,yes,no,no
Pondok Labu,Jakarta Selatan,991000000,2.0,2.0,43,79,no,no,yes,no,no
Tanjung Priok,Jakarta Utara,5000000000,2.0,2.0,274,324,no,no,yes,no,no
Mangga Besar,Jakarta Barat,1200000000,8.0,5.0,66,253,no,no,yes,no,no
Kramat Jati,Jakarta Timur,4000000000,3.0,3.0,140,304,yes,no,no,no,no
Muara Karang,Jakarta Utara,6000000000,4.0,3.0,200,250,no,no,no,no,no
Muara Karang,Jakarta Utara,4300000000,4.0,3.0,120,275,yes,no,no,no,no
Pantai Indah Kapuk,Jakarta Utara,15800000000,4.0,4.0,300,450,yes,no,no,no,no
Pantai Indah Kapuk,Jakarta Utara,3650000000,4.0,4.0,120,240,no,no,yes,no,no
Pondok Indah,Jakarta Selatan,65000000000,8.0,5.0,825,1500,yes,no,no,yes,no
Kebayoran Baru,Jakarta Selatan,40000000000,4.0,2.0,599,360,yes,no,no,no,no
Pegangsaan,Jakarta Pusat,29000000000,3.0,2.0,599,350,no,no,yes,no,no
Pantai Mutiara,Jakarta Utara,41900000000,4.0,4.0,609,1500,yes,no,no,yes,no
Pantai Mutiara,Jakarta Utara,41900000000,4.0,4.0,609,1500,yes,no,no,yes,no
Kebayoran Baru,Jakarta Selatan,149000000000,6.0,5.0,1280,2000,no,no,yes,yes,no
Kebayoran Baru,Jakarta Selatan,25000000000,3.0,4.0,318,350,no,yes,no,yes,no
Kebayoran Baru,Jakarta Selatan,7900000000,4.0,2.0,197,300,no,no,no,no,no
Pantai Indah Kapuk,Jakarta Utara,2400000000,2.0,1.0,60,79,no,no,yes,no,no
Pluit,Jakarta Utara,7790000000,5.0,4.0,324,408,yes,no,yes,no,no
Green Lake City,Jakarta Barat,3180000000,3.0,3.0,120,150,no,no,no,yes,no
Muara Karang,Jakarta Utara,3950000000,5.0,5.0,105,200,no,no,no,no,no
Tebet,Jakarta Selatan,3750000000,3.0,3.0,65,211,yes,no,no,no,yes
Pesanggrahan,Jakarta Selatan,2500000000,4.0,3.0,169,300,no,yes,yes,no,no
Jagakarsa,Jakarta Selatan,1970000000,5.0,5.0,125,160,no,no,yes,no,no
Tomang,Jakarta Barat,2490000000,4.0,4.0,48,120,no,no,no,no,yes
Ancol,Jakarta Utara,30000000000,8.0,8.0,600,1200,no,no,no,no,no
Tebet,Jakarta Selatan,3600000000,4.0,4.0,120,200,yes,no,no,no,no
Pluit,Jakarta Utara,10500000000,4.0,4.0,200,600,no,no,no,no,no
Green Lake City,Jakarta Barat,3200000000,3.0,3.0,108,180,no,no,no,no,no
Pantai Indah Kapuk,Jakarta Utara,13400000000,5.0,4.0,144,300,yes,no,no,no,no
Pantai Indah Kapuk,Jakarta Utara,15900000000,4.0,4.0,192,350,no,no,yes,no,no
Citra Garden,Jakarta Barat,1750000000,2.0,2.0,180,180,no,no,no,no,no
Grogol,Jakarta Barat,3100000000,3.0,3.0,180,180,no,no,no,no,no
Pantai Indah Kapuk,Jakarta Utara,7300000000,4.0,4.0,243,280,yes,no,no,yes,no
Pantai Indah Kapuk,Jakarta Utara,9100000000,4.0,4.0,200,600,no,no,yes,no,no
Cakung,Jakarta Timur,3800000000,4.0,3.0,198,198,yes,no,no,no,no
Muara Karang,Jakarta Utara,4500000000,3.0,4.0,120,200,no,no,no,no,no
Pantai Indah Kapuk,Jakarta Utara,3100000000,3.0,2.0,75,133,no,no,no,no,no
Pantai Indah Kapuk 2,Jakarta Utara,1500000000,2.0,2.0,54,75,no,no,yes,no,no
Pantai Indah Kapuk,Jakarta Utara,60000000000,4.0,9.0,600,1300,no,no,no,yes,no
Kembangan,Jakarta Barat,3540000000,6.0,3.0,135,250,yes,no,no,no,no
Cipete,Jakarta Selatan,16000000000,5.0,5.0,505,825,yes,no,no,no,no
Green Lake City,Jakarta Barat,2500000000,3.0,3.0,90,120,no,yes,yes,no,no
Ciracas,Jakarta Timur,1270000000,2.0,1.0,129,70,yes,no,no,no,no
Kemang,Jakarta Selatan,6900000000,4.0,5.0,300,262,no,no,no,no,no
Cilandak,Jakarta Selatan,6350000000,3.0,3.0,289,289,no,no,no,no,no
Cipete,Jakarta Selatan,8250000000,3.0,3.0,159,378,no,no,no,no,no
Cilandak,Jakarta Selatan,5900000000,4.0,4.0,262,520,no,no,no,no,no
Sunter,Jakarta Utara,3500000000,3.0,2.0,105,120,no,no,yes,no,no
Lebak Bulus,Jakarta Selatan,7000000000,3.0,3.0,275,225,no,no,no,no,no
Kemang,Jakarta Selatan,8200000000,4.0,3.0,200,330,no,no,no,no,no
Kemang,Jakarta Selatan,8200000000,4.0,3.0,200,330,no,no,no,no,no
Pondok Labu,Jakarta Selatan,10000000000,3.0,3.0,600,387,no,no,no,no,no
Kebayoran Baru,Jakarta Selatan,16500000000,3.0,3.0,292,305,yes,yes,no,no,no
Kelapa Gading,Jakarta Utara,4780000000,4.0,3.0,162,215,yes,no,no,no,no
Pantai Indah Kapuk,Jakarta Utara,48000000000,5.0,3.0,1084,1000,no,no,no,no,no
Kebayoran Baru,Jakarta Selatan,45000000000,4.0,2.0,458,500,yes,no,no,no,no
Kota Wisata,Jakarta Timur,1560000000,2.0,2.0,119,100,no,no,no,no,no
Cipinang,Jakarta Timur,1390000000,3.0,3.0,40,78,yes,no,no,no,yes
Cengkareng,Jakarta Barat,2600000000,3.0,3.0,90,180,yes,no,no,yes,no
Pantai Indah Kapuk,Jakarta Utara,5300000000,3.0,3.0,150,209,yes,no,no,no,no
Jelambar,Jakarta Barat,5700000000,3.0,4.0,168,538,no,no,no,no,no
Pantai Mutiara,Jakarta Utara,30000000000,1.0,1.0,600,600,yes,no,no,no,no
Jelambar,Jakarta Barat,2100000000,2.0,4.0,97,268,no,no,no,no,no
Pantai Indah Kapuk,Jakarta Utara,12800000000,4.0,5.0,240,300,yes,no,yes,no,no
Pantai Indah Kapuk,Jakarta Utara,36500000000,5.0,5.0,585,1400,no,no,yes,no,no
Pondok Indah,Jakarta Selatan,4600000000,3.0,2.0,121,100,no,no,no,yes,no
Pantai Indah Kapuk,Jakarta Utara,13500000000,4.0,4.0,250,350,no,no,yes,no,no
Pantai Indah Kapuk,Jakarta Utara,19000000000,5.0,5.0,512,700,yes,no,yes,no,no
Tebet,Jakarta Selatan,9000000000,6.0,5.0,391,500,yes,no,yes,no,no
Cilincing,Jakarta Utara,800000000,3.0,3.0,195,190,no,no,no,no,no
Kembangan,Jakarta Barat,2400000000,4.0,3.0,115,91,no,no,no,no,no
Tanjung Priok,Jakarta Utara,1000000000,14.0,14.0,252,115,no,no,no,no,no
Pasar Rebo,Jakarta Timur,3000000000,4.0,3.0,266,450,no,no,no,no,no
Cakung,Jakarta Timur,1000000000,3.0,2.0,110,170,no,no,no,no,no
Cakung,Jakarta Timur,1450000000,3.0,2.0,200,286,no,no,no,no,no
Pasar Minggu,Jakarta Selatan,4400000000,5.0,4.0,262,208,no,no,no,no,no
Cipayung,Jakarta Timur,4100000000,4.0,4.0,445,400,no,no,no,no,no
Duren Sawit,Jakarta Timur,3200000000,3.0,2.0,201,190,no,no,no,no,no
Cilandak,Jakarta Selatan,2490000000,7.0,2.0,315,350,no,no,no,no,no
Cipayung,Jakarta Timur,1200000000,3.0,2.0,124,150,no,no,no,no,no
Jagakarsa,Jakarta Selatan,2650000000,3.0,3.0,200,375,no,no,no,no,no
Tanjung Barat,Jakarta Selatan,2000000000,2.0,2.0,157,250,no,no,no,no,no
Jatinegara,Jakarta Timur,3000000000,4.0,2.0,273,200,no,no,no,no,no
Pegadungan,Jakarta Barat,1800000000,3.0,2.0,225,150,no,no,no,no,no
Pasar Rebo,Jakarta Timur,3580000000,4.0,2.0,266,360,no,no,no,no,no
Pasar Rebo,Jakarta Timur,3580000000,4.0,2.0,266,360,no,no,no,no,no
Pantai Indah Kapuk,Jakarta Utara,3900000000,3.0,3.0,120,170,no,no,yes,no,no
Pantai Indah Kapuk,Jakarta Utara,33000000000,4.0,4.0,525,900,no,no,yes,no,no
Pantai Indah Kapuk 2,Jakarta Utara,4500000000,3.0,3.0,100,150,yes,no,yes,no,no
Jelambar,Jakarta Barat,3600000000,3.0,3.0,140,203,no,no,yes,no,no
Jelambar,Jakarta Barat,5700000000,3.0,4.0,168,532,no,no,yes,no,no
Jelambar,Jakarta Barat,2100000000,2.0,3.0,56,126,no,no,yes,no,no
Muara Karang,Jakarta Utara,5200000000,4.0,3.0,120,240,no,no,no,no,no
Permata Buana,Jakarta Barat,4500000000,3.0,2.0,144,200,no,no,yes,no,no
Permata Buana,Jakarta Barat,4500000000,4.0,3.0,144,200,yes,no,yes,no,no
Pantai Indah Kapuk,Jakarta Utara,13000000000,4.0,4.0,360,828,yes,no,yes,no,no
Duren Sawit,Jakarta Timur,1630000000,2.0,2.0,222,123,no,no,yes,no,no
Kebayoran Lama,Jakarta Selatan,1800000000,3.0,1.0,117,100,no,yes,yes,no,no
Duren Sawit,Jakarta Timur,3080000000,4.0,2.0,217,186,no,no,yes,no,no
Pasar Minggu,Jakarta Selatan,4680000000,4.0,3.0,330,300,no,no,yes,no,no
Jagakarsa,Jakarta Selatan,3700000000,4.0,3.0,210,200,no,no,yes,no,no
Kramat Jati,Jakarta Timur,4500000000,4.0,2.0,500,400,no,no,yes,no,no
Cakung,Jakarta Timur,2450000000,4.0,2.0,336,288,no,yes,yes,no,no
Cakung,Jakarta Timur,3200000000,5.0,3.0,511,359,no,no,yes,no,no
Cipayung,Jakarta Timur,1200000000,3.0,2.0,91,136,no,no,yes,no,no
Cakung,Jakarta Timur,4500000000,4.0,3.0,450,340,no,no,yes,no,no
Matraman,Jakarta Timur,3500000000,4.0,2.0,209,194,no,no,yes,no,no
Pesanggrahan,Jakarta Selatan,3400000000,4.0,2.0,155,310,no,no,yes,no,no
Intercon,Jakarta Barat,7500000000,5.0,2.0,240,275,yes,no,no,no,no
Intercon,Jakarta Barat,27000000000,4.0,4.0,800,1500,yes,no,no,no,no
Kramat Jati,Jakarta Timur,2000000000,3.0,2.0,281,156,no,no,yes,no,no
Pantai Indah Kapuk,Jakarta Utara,11000000000,4.0,3.0,250,300,no,no,no,yes,no
Kalideres,Jakarta Barat,1700000000,19.0,19.0,200,400,no,no,yes,no,no
Kebayoran Lama,Jakarta Selatan,4240000000,3.0,2.0,225,394,no,no,no,no,no
Kelapa Gading,Jakarta Utara,2700000000,7.0,4.0,128,260,no,no,yes,no,no
Condet,Jakarta Timur,2500000000,9.0,4.0,262,450,no,no,no,no,no
Cijantung,Jakarta Timur,15000000000,3.0,2.0,950,850,no,no,no,no,no
Green Lake City,Jakarta Barat,2490000000,4.0,3.0,108,126,no,no,yes,no,no
Cakung,Jakarta Timur,4290000000,4.0,3.0,144,195,no,no,yes,no,no
Kebayoran Baru,Jakarta Selatan,17800000000,4.0,4.0,259,450,yes,no,no,no,no
Pasar Minggu,Jakarta Selatan,6000000000,20.0,21.0,438,438,yes,no,yes,no,no
Permata Hijau,Jakarta Selatan,20000000000,8.0,5.0,438,264,no,no,yes,no,no
Cideng,Jakarta Pusat,7500000000,3.0,2.0,289,320,no,no,no,no,no
Menteng,Jakarta Pusat,42000000000,5.0,4.0,518,600,no,no,no,no,no
Pantai Indah Kapuk,Jakarta Utara,9500000000,4.0,4.0,290,510,no,no,no,no,no
Cipayung,Jakarta Timur,900000000,3.0,2.0,60,75,yes,no,no,no,yes
Cempaka Putih,Jakarta Pusat,2400000000,3.0,3.0,53,94,no,no,no,no,no
Pondok Indah,Jakarta Selatan,22000000000,5.0,4.0,410,500,yes,no,no,no,no
Cempaka Putih,Jakarta Pusat,2400000000,3.0,3.0,53,94,no,no,no,no,no
Senen,Jakarta Pusat,7000000000,8.0,6.0,295,150,no,no,yes,no,no
Cilandak,Jakarta Selatan,8750000000,3.0,2.0,540,225,no,no,no,no,no
Pondok Kelapa,Jakarta Timur,3200000000,4.0,4.0,200,199,no,no,yes,no,no
Kebayoran Lama,Jakarta Selatan,8000000000,2.0,2.0,700,560,no,no,no,no,no
Pantai Indah Kapuk,Jakarta Utara,9500000000,3.0,2.0,136,136,no,no,no,no,no
Pluit,Jakarta Utara,6600000000,4.0,3.0,200,300,yes,no,no,no,no
Duri Kosambi,Jakarta Barat,4300000000,3.0,4.0,248,247,no,no,no,no,no
Lebak Bulus,Jakarta Selatan,5800000000,3.0,2.0,400,500,yes,no,no,no,no
Grogol,Jakarta Barat,1890000000,3.0,3.0,48,110,no,no,no,no,no
Tebet,Jakarta Selatan,25000000000,4.0,3.0,620,450,no,no,no,no,no
Cilandak,Jakarta Selatan,9000000000,3.0,2.0,405,600,no,no,no,no,no
Menteng,Jakarta Pusat,75000000000,5.0,5.0,980,550,no,no,no,no,no
TB Simatupang,Jakarta Selatan,70000000000,9.0,8.0,4600,2600,yes,no,yes,no,no
Pondok Labu,Jakarta Selatan,39000000000,8.0,9.0,2475,900,no,no,yes,no,no
Kebayoran Baru,Jakarta Selatan,81200000000,4.0,5.0,830,900,no,no,no,yes,no
Puri Mansion,Jakarta Barat,2700000000,3.0,3.0,90,110,no,no,yes,no,no
Puri Mansion,Jakarta Barat,2700000000,3.0,3.0,90,110,no,no,yes,no,no
Pantai Indah Kapuk,Jakarta Utara,7500000000,3.0,3.0,195,200,no,no,yes,no,no
Green Lake City,Jakarta Barat,2550000000,4.0,3.0,96,130,yes,no,no,no,no
Green Lake City,Jakarta Barat,4600000000,4.0,3.0,180,300,yes,no,no,no,no
Meruya,Jakarta Barat,2250000000,3.0,3.0,120,137,yes,no,no,no,no
Green Lake City,Jakarta Barat,2150000000,3.0,2.0,90,100,yes,no,no,no,no
Green Lake City,Jakarta Barat,3180000000,3.0,3.0,108,250,yes,no,no,no,no
Jagakarsa,Jakarta Selatan,1300000000,4.0,3.0,108,160,yes,no,no,no,no
Jagakarsa,Jakarta Selatan,1300000000,4.0,3.0,108,160,yes,no,no,no,no
Pondok Kelapa,Jakarta Timur,6500000000,4.0,5.0,480,350,no,no,no,no,no
Green Lake City,Jakarta Barat,5000000000,3.0,4.0,266,160,yes,no,no,no,no
Green Lake City,Jakarta Barat,2500000000,3.0,2.0,90,108,yes,no,no,no,no
Pondok Indah,Jakarta Selatan,55000000000,5.0,6.0,1075,1000,yes,no,no,yes,no
Pondok Indah,Jakarta Selatan,22000000000,4.0,3.0,410,550,no,no,yes,no,no
Cempaka Putih,Jakarta Pusat,1800000000,4.0,3.0,80,111,no,no,yes,no,no
Kebayoran Lama,Jakarta Selatan,4900000000,4.0,4.0,257,300,no,no,yes,no,no
Kemang,Jakarta Selatan,20000000000,4.0,4.0,887,900,yes,no,no,yes,no
Muara Karang,Jakarta Utara,5500000000,3.0,3.0,140,250,no,no,yes,no,no
Muara Karang,Jakarta Utara,5500000000,3.0,3.0,140,250,no,no,yes,no,no
Duri Kepa,Jakarta Barat,2550000000,4.0,3.0,91,135,no,no,no,no,yes
Kemang,Jakarta Selatan,29000000000,4.0,4.0,600,596,no,no,yes,no,no
Pondok Indah,Jakarta Selatan,45000000000,4.0,4.0,768,850,yes,no,no,yes,no
Pondok Indah,Jakarta Selatan,55000000000,6.0,6.0,759,1115,no,no,yes,no,no
Pondok Indah,Jakarta Selatan,55000000000,6.0,6.0,759,1115,no,no,yes,no,no
